city,date,cpi,violent crime,property crime,patents,population,unemployment,case shiller,education and health,medical care,motor fuel,income,food and bev,DOW,SP500,NASDAQ
portland,09-14,242.778,2911.0,32229.0,272.0,786.8159999999999,5.3,168.64941614223198,0.20185140336858304,519.2476666666666,282.45366666666666,49181.33333333333,231.94733333333335,17098.5280952381,1993.8083333333338,4552.436428571429
portland,10-14,242.8275,2911.0,32229.0,296.0,787.79275,5.2,169.317225447143,0.20180050990330772,521.909,271.0425,49426.75,232.16000000000003,16694.00934782609,1936.3417391304351,4401.620869565218
portland,11-14,242.877,2911.0,32229.0,279.0,788.7695,5.0,170.957210872101,0.202506846982486,524.5703333333333,259.6313333333334,49672.166666666664,232.37266666666667,17637.387368421056,2043.4315789473687,4684.643421052632
portland,12-14,242.9265,2911.0,32229.0,396.0,789.7462499999999,4.6,172.317003179997,0.203218622963053,527.2316666666667,248.22016666666667,49917.58333333333,232.58533333333332,17754.975454545453,2054.497272727273,4733.963409090909
portland,01-15,242.976,949.0,7848.0,272.0,790.723,5.1,173.851909433556,0.20329785289130706,529.893,236.809,50163.0,232.798,17558.55625,2029.7857500000002,4678.870999999999
portland,02-15,243.38083333333333,949.0,7848.0,304.0,791.7985833333333,4.9,175.120020691631,0.20395333090664242,531.72,235.8745,50249.083333333336,232.78816666666665,17920.065789473687,2079.4052631578948,4846.411578947368
portland,03-15,243.78566666666666,949.0,7848.0,317.0,792.8741666666666,4.9,176.17917689551498,0.20381805509924802,533.547,234.94,50335.16666666667,232.77833333333334,17939.142272727277,2080.758863636364,4938.267272727273
portland,04-15,244.1905,949.0,7848.0,360.0,793.94975,4.5,177.547345541579,0.20422342231932689,535.374,234.00549999999998,50421.25000000001,232.76850000000002,17968.85761904762,2094.445476190476,4984.926190476192
portland,05-15,244.59533333333334,949.0,7848.0,292.0,795.0253333333333,4.6,178.498571541969,0.20408770265710488,537.201,233.071,50507.33333333334,232.75866666666667,18120.80425,2111.5215,5028.3965
portland,06-15,245.00016666666667,949.0,7848.0,386.0,796.1009166666666,5.0,179.968651135052,0.20494647125628485,539.028,232.1365,50593.41666666667,232.74883333333332,17936.547727272726,2100.339090909091,5075.378863636363
