atlanta,boston,chicago,cleveland,dallas,denver,detroit,la,miami,minneapolis,nyc,phoenix,portland,sf,seattle,tampa,dc,date,cpi,crimes_reported,crimes_cleared,patents,population,unemployment,case_shiller,dow,nasdaq,sp,label
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,06-06,222.6,52086,0,1664,8275.419083333334,4.4,216.194241830566,166.286349781224,10998.258181818184,2138.695,1253.1213636363636
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,07-06,223.1,52086,0,1426,8280.389500000001,4.8,215.049581637314,167.044856532206,11031.482,2087.5315,1260.2395000000001
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,08-06,224.1,52086,0,1599,8285.359916666666,4.4,213.09569838652303,166.692785928816,11252.42608695652,2116.84347826087,1287.1513043478262
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,09-06,222.9,52086,0,1394,8290.330333333333,4.2,213.02669189076198,166.949622386815,11525.752999999999,2220.42875,1317.8049999999998
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,10-06,221.7,52086,0,1591,8295.30075,3.9,213.027321921636,165.141458682571,11953.47409090909,2326.742045454546,1363.3845454545458
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,11-06,220.9,52086,0,1531,8300.271166666666,4.1,213.158904534394,164.313264282684,12180.484285714288,2406.9483333333333,1388.6319047619047
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,12-06,221.3,52086,0,1486,8305.241583333333,4.0,213.252398671418,162.987097074871,12371.141749999999,2432.68075,1416.4199999999998
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,01-07,221.767,50453,0,1501,8310.212,4.9,212.90915271757703,162.105842411893,12508.3795,2451.9749999999995,1424.1614999999997
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,02-07,223.066,50453,0,1398,8313.299333333332,4.8,213.310928126995,161.131943376038,12639.690526315791,2481.092368421053,1444.7947368421053
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,03-07,224.551,50453,0,1664,8316.386666666665,4.3,214.24887823204799,160.52914041013798,12266.136590909091,2401.191590909091,1406.9522727272727
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,04-07,225.78,50453,0,1520,8319.474,4.1,213.628654784309,160.992491558923,12736.57175,2498.0382500000005,1463.6474999999998
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,05-07,227.146,50453,0,1569,8322.561333333333,4.1,211.874948085438,161.722181983822,13394.01977272727,2560.602272727273,1511.1368181818182
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,06-07,228.258,50453,0,1646,8325.648666666666,4.3,209.706810307622,162.563073823017,13484.954047619052,2595.5076190476193,1514.489523809524
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,07-07,228.628,50453,0,1497,8328.736,4.7,207.774219486652,162.596735527629,13681.909047619049,2656.657380952381,1520.7047619047617
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,08-07,228.326,50453,0,1563,8331.823333333334,4.5,205.371529229672,162.95063688883602,13235.701739130436,2539.241739130435,1454.616956521739
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,09-07,228.308,50453,0,1403,8334.910666666667,4.3,204.866553569956,163.35049552543998,13543.186842105262,2632.5094736842107,1497.1163157894737
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,10-07,228.552,50453,0,1615,8337.998,4.3,203.95822522121898,163.115733248673,13900.468695652173,2779.234347826087,1539.6591304347828
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,11-07,229.504,50453,0,1428,8341.085333333333,4.3,203.295054047466,162.498547031674,13207.396428571428,2667.5292857142854,1463.385238095238
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,12-07,229.395,50453,0,1438,8344.172666666667,4.7,201.71846544912898,162.705397289866,13409.072250000001,2663.7797499999997,1479.2285
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,01-08,229.869,48430,0,1354,8347.26,5.3,200.80337263303502,162.794749274505,12532.17880952381,2419.136428571428,1377.0107142857141
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,02-08,231.02,48430,0,1285,8351.033333333333,5.3,199.440781566358,163.7700758048,12420.7235,2328.3207500000003,1355.8530000000003
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,03-08,233.122,48430,0,1615,8354.806666666667,5.0,198.82683476194697,163.264193364669,12195.11075,2254.9885000000004,1317.6932499999998
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,04-08,233.822,48430,0,1439,8358.58,4.5,197.17536794924098,164.813583563593,12653.22772727273,2367.043863636364,1369.9443181818183
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,05-08,236.151,48430,0,1466,8362.353333333334,4.9,195.83887483905102,166.02031433700301,12812.637142857144,2481.5688095238097,1402.6016666666667
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,06-08,238.58,48430,0,1493,8366.126666666667,5.1,194.83849633211003,167.084648990298,12081.015,2430.978571428571,1344.095238095238
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,07-08,240.273,48430,0,1353,8369.900000000001,5.4,192.56395041253998,167.917626133242,11319.22977272727,2276.879545454545,1257.6252272727272
